839382,70,0.056,6.1,Normal
841382,65,0.052,-1.5,Normal
843383,67,0.054,1.5,Normal
845383,65,0.052,-1.5,Normal
847384,63,0.051,-4.5,Normal
849385,65,0.052,-1.5,Normal
851386,70,0.056,6.1,Normal
853386,69,0.056,4.5,Normal
855387,66,0.053,0.0,Normal
857387,66,0.053,0.0,Normal
859388,66,0.053,0.0,Normal
861388,68,0.055,3.0,Normal
863389,66,0.053,0.0,Normal
865389,69,0.056,4.5,Normal
867390,67,0.054,1.5,Normal
869390,68,0.055,3.0,Normal
871391,63,0.051,-4.5,Normal
873392,74,0.060,12.1,Slight Change
875393,64,0.052,-3.0,Normal
877394,70,0.056,6.1,Normal
879395,66,0.053,0.0,Normal
881395,66,0.053,0.0,Normal
883396,69,0.056,4.5,Normal
885396,70,0.056,6.1,Normal
887397,69,0.056,4.5,Normal
889397,69,0.056,4.5,Normal
891398,67,0.054,1.5,Normal
893398,65,0.052,-1.5,Normal
895399,67,0.054,1.5,Normal
897399,65,0.052,-1.5,Normal
899400,65,0.052,-1.5,Normal
901401,63,0.051,-4.5,Normal
903402,68,0.055,3.0,Normal
905402,59,0.048,-10.6,Normal
907403,64,0.052,-3.0,Normal
909404,62,0.050,-6.1,Normal
911405,66,0.053,0.0,Normal
913405,72,0.058,9.1,Normal
915406,65,0.052,-1.5,Normal
917407,68,0.055,3.0,Normal
919408,65,0.052,-1.5,Normal
921409,64,0.052,-3.0,Normal
923410,62,0.050,-6.1,Normal
925411,65,0.052,-1.5,Normal
927412,70,0.056,6.1,Normal
929412,57,0.046,-13.6,Normal
931413,65,0.052,-1.5,Normal
933414,65,0.052,-1.5,Normal
935415,66,0.053,0.0,Normal
937415,67,0.054,1.5,Normal
939416,60,0.048,-9.1,Normal
941417,65,0.052,-1.5,Normal
943418,67,0.054,1.5,Normal
945418,62,0.050,-6.1,Normal
947419,61,0.049,-7.6,Normal
949420,70,0.056,6.1,Normal
951421,66,0.053,0.0,Normal
953421,67,0.054,1.5,Normal
955422,65,0.052,-1.5,Normal
957423,63,0.051,-4.5,Normal
959424,64,0.052,-3.0,Normal
961425,66,0.053,0.0,Normal
963426,66,0.053,0.0,Normal
965426,74,0.060,12.1,Slight Change
967427,57,0.046,-13.6,Normal
969428,57,0.046,-13.6,Normal
971429,67,0.054,1.5,Normal
973429,64,0.052,-3.0,Normal
975430,62,0.050,-6.1,Normal
977431,71,0.057,7.6,Normal
979432,64,0.052,-3.0,Normal
981433,65,0.052,-1.5,Normal
983434,72,0.058,9.1,Normal
985434,71,0.057,7.6,Normal
